 -1927 , -15805,   2698 
 -1413 , -15805,   2184 
 -1670 , -16576,   1156 
 -1413 , -15034,   1413 
 -1156 , -17090,    899 
 -1156 , -16576,    642 
 -1156 , -16576,    642 
  -642 , -17604,    642 
 -1413 , -18118,  -1156 
 -1670 , -18118,  -1156 
 -2441 , -17604,  -1413 
 -3212 , -17861,    385 
 -4497 , -17861,    385 
 -5011 , -18118,   -128 
 -4240 , -17090,   1156 
 -4497 , -16319,    128 
 -4240 , -15805,  -1156 
 -4240 , -15805,  -1927 
 -4240 , -15548,  -1670 
 -4497 , -16062,  -3983 
 -4497 , -15291,  -2698 
 -5011 , -15548,  -4240 
 -4497 , -15805,  -5782 
 -3726 , -15548,  -5525 
 -3726 , -15034,  -5782 
 -4754 , -14777,  -8352 
 -4240 , -14520,  -5011 
 -5011 , -13749,  -6296 
 -4240 , -12978,  -7324 
 -4497 , -12978,  -7838 
 -4497 , -12207,  -7067 
 -4754 , -11950,  -5011 
 -5011 , -11693,  -7838 
 -4240 , -11179,  -7067 
 -2955 , -10151,  -6039 
 -1927 , -10151,  -8095 
  -642 ,  -8609,  -8866 
  -128 ,  -8352,  -7581 
  -642 ,  -8095,  -6553 
 -1156 ,  -8352,  -5011 
 -1670 , -10151,  -5525 
 -1670 , -11693,  -6553 
 -1670 , -12207,  -3983 
 -1927 , -12721,  -3469 
 -2441 , -13235,  -5525 
 -1156 , -13492,  -6296 
  -899 , -15034,  -6296 
 -1670 , -17090,  -7067 
 -3212 , -17604,  -5525 
 -3469 , -17347,  -3212 
 -4754 , -16833,  -2955 
 -4497 , -16576,  -3469 
 -4240 , -15548,  -2698 
 -3469 , -14777,  -3469 
 -3469 , -14006,  -2441 
 -2184 , -13749,  -2698 
 -1413 , -12978,  -3983 
 -1927 , -14520,  -5011 
 -1670 , -15034,  -4497 
 -2698 , -15548,  -2441 
 -4754 , -16576,  -2184 
 -4754 , -16319,  -1670 
 -3469 , -15805,  -2441 
 -1156 , -16062,  -2441 
 -3469 , -16319,  -2184 
 -3212 , -15034,  -1670 
 -1413 , -14263,   -642 
  -899 , -14263,  -2955 
 -1156 , -15805,  -2441 
 -1413 , -15548,   -642 
  1413 , -19403,    642 
  1413 , -19403,    642 
  -899 , -15805,   -385 
  -642 , -16576,   -385 
 -1413 , -15291,   -642 
 -1413 , -13492,    128 
 -1413 , -15805,    128 
