  -899 , -15805,   1413 
  -385 , -16062,    385 
 -1156 , -16319,    642 
   128 , -16576,   2955 
   385 , -16833,    128 
  1670 , -21202,   2441 
  1670 , -21202,   2441 
  -385 , -20945,   1413 
 -1670 , -23001,   3212 
 -4497 , -23258,   2698 
 -5782 , -21973,   1927 
 -6553 , -21973,   1927 
 -7581 , -20688,   1927 
 -7324 , -19403,   1156 
 -6810 , -17347,    385 
 -6296 , -15291,   -642 
 -6296 , -12978,  -2441 
 -6553 ,  -9894,  -3726 
 -7324 ,  -8095,  -4240 
 -8609 ,  -6553,  -3983 
 -8095 ,  -6553,  -2955 
 -6039 ,  -6296,  -2955 
 -7067 ,  -7067,  -1670 
 -5268 ,  -7838,   -642 
 -2955 ,  -9380,   -128 
  -899 , -11179,    128 
   385 , -13492,    385 
  -128 , -15034,    899 
   128 , -16319,    385 
  3983 , -22487,   3212 
  2441 , -19660,   2698 
 -3212 , -16576,   1927 
 -2698 , -14520,   3212 
 -1413 , -13235,   1413 
   385 , -14263,   2698 
 -1156 , -16319,   2184 
 -3212 , -15034,    899 
 -2184 , -18375,   3212 
 -2184 , -18375,   3212 
 -1413 , -14263,   1413 
  -385 , -16576,   3212 
  -385 , -15548,    899 
  -128 , -14263,   1670 
 -4240 , -11179,  -1413 
